date,gt,lq
2004-05-12 20:53:06,j8xi03x2q/j8xi03x2q_flc.fits,j8xi03x2q/j8xi03x2q_flt.fits
2004-05-13 01:20:42,j8xi04yjq/j8xi04yjq_flc.fits,j8xi04yjq/j8xi04yjq_flt.fits
2004-05-13 02:39:27,j8xi04yyq/j8xi04yyq_flc.fits,j8xi04yyq/j8xi04yyq_flt.fits
2004-05-13 04:18:36,j8xi05zhq/j8xi05zhq_flc.fits,j8xi05zhq/j8xi05zhq_flt.fits
2004-05-13 07:27:22,j8xi06ahq/j8xi06ahq_flc.fits,j8xi06ahq/j8xi06ahq_flt.fits
2004-05-13 08:05:58,j8xi07aoq/j8xi07aoq_flc.fits,j8xi07aoq/j8xi07aoq_flt.fits
2004-05-13 17:28:47,j8xi0cdoq/j8xi0cdoq_flc.fits,j8xi0cdoq/j8xi0cdoq_flt.fits
2004-05-13 20:40:44,j8xi0eejq/j8xi0eejq_flc.fits,j8xi0eejq/j8xi0eejq_flt.fits
2004-05-13 23:39:07,j8xi0ffbq/j8xi0ffbq_flc.fits,j8xi0ffbq/j8xi0ffbq_flt.fits
2004-05-14 06:01:12,j8xi0hhkq/j8xi0hhkq_flc.fits,j8xi0hhkq/j8xi0hhkq_flt.fits
2004-05-14 09:14:57,j8xi0iimq/j8xi0iimq_flc.fits,j8xi0iimq/j8xi0iimq_flt.fits
2004-05-14 09:41:31,j8xi0jiqq/j8xi0jiqq_flc.fits,j8xi0jiqq/j8xi0jiqq_flt.fits
2004-05-14 14:28:21,j8xi0lkoq/j8xi0lkoq_flc.fits,j8xi0lkoq/j8xi0lkoq_flt.fits
2004-05-14 17:05:09,j8xi0nlcq/j8xi0nlcq_flc.fits,j8xi0nlcq/j8xi0nlcq_flt.fits
2004-05-15 01:02:38,j8xi0qncq/j8xi0qncq_flc.fits,j8xi0qncq/j8xi0qncq_flt.fits
2004-05-15 09:14:20,j8xi0vqzq/j8xi0vqzq_flc.fits,j8xi0vqzq/j8xi0vqzq_flt.fits
2004-05-15 09:40:51,j8xi0wr3q/j8xi0wr3q_flc.fits,j8xi0wr3q/j8xi0wr3q_flt.fits
2004-05-15 12:51:49,j8xi0xsaq/j8xi0xsaq_flc.fits,j8xi0xsaq/j8xi0xsaq_flt.fits
2004-05-15 13:52:39,j8xi0yshq/j8xi0yshq_flc.fits,j8xi0yshq/j8xi0yshq_flt.fits
2004-05-15 14:15:46,j8xi0ysnq/j8xi0ysnq_flc.fits,j8xi0ysnq/j8xi0ysnq_flt.fits
2004-05-15 19:03:45,j8xi13tzq/j8xi13tzq_flc.fits,j8xi13tzq/j8xi13tzq_flt.fits
2004-05-16 01:07:22,j8xi15w5q/j8xi15w5q_flc.fits,j8xi15w5q/j8xi15w5q_flt.fits
2004-05-16 04:18:05,j8xi16x7q/j8xi16x7q_flc.fits,j8xi16x7q/j8xi16x7q_flt.fits
2004-05-16 09:13:46,j8xi18yqq/j8xi18yqq_flc.fits,j8xi18yqq/j8xi18yqq_flt.fits
2004-05-16 11:03:17,j8xi19zgq/j8xi19zgq_flc.fits,j8xi19zgq/j8xi19zgq_flt.fits
2004-05-16 12:16:16,j8xi1azrq/j8xi1azrq_flc.fits,j8xi1azrq/j8xi1azrq_flt.fits
2004-05-17 02:48:53,j8xi1lbfq/j8xi1lbfq_flc.fits,j8xi1lbfq/j8xi1lbfq_flt.fits
2004-05-17 05:48:48,j8xi1scgq/j8xi1scgq_flc.fits,j8xi1scgq/j8xi1scgq_flt.fits
2004-05-17 06:23:43,j8xi1tcnq/j8xi1tcnq_flc.fits,j8xi1tcnq/j8xi1tcnq_flt.fits
2004-05-17 10:50:17,j8xi1vebq/j8xi1vebq_flc.fits,j8xi1vebq/j8xi1vebq_flt.fits
2004-05-17 21:58:37,j8xi1wh9q/j8xi1wh9q_flc.fits,j8xi1wh9q/j8xi1wh9q_flt.fits
2004-05-18 06:00:22,j8xi1xk8q/j8xi1xk8q_flc.fits,j8xi1xk8q/j8xi1xk8q_flt.fits
2004-05-18 08:03:50,j8xi1nkwq/j8xi1nkwq_flc.fits,j8xi1nkwq/j8xi1nkwq_flt.fits
2004-05-18 10:36:15,j8xi23lhq/j8xi23lhq_flc.fits,j8xi23lhq/j8xi23lhq_flt.fits
2004-05-18 11:00:15,j8xi23loq/j8xi23loq_flc.fits,j8xi23loq/j8xi23loq_flt.fits
2004-05-18 12:37:47,j8xi24m3q/j8xi24m3q_flc.fits,j8xi24m3q/j8xi24m3q_flt.fits
2004-05-18 15:26:37,j8xi26mzq/j8xi26mzq_flc.fits,j8xi26mzq/j8xi26mzq_flt.fits
2004-05-18 17:25:42,j8xi27noq/j8xi27noq_flc.fits,j8xi27noq/j8xi27noq_flt.fits
2004-05-19 01:12:00,j8xi21qgq/j8xi21qgq_flc.fits,j8xi21qgq/j8xi21qgq_flt.fits
2004-05-19 02:35:58,j8xi21qwq/j8xi21qwq_flc.fits,j8xi21qwq/j8xi21qwq_flt.fits
2004-05-19 04:35:57,j8xi22rhq/j8xi22rhq_flc.fits,j8xi22rhq/j8xi22rhq_flt.fits
2004-05-19 07:23:53,j8xi28scq/j8xi28scq_flc.fits,j8xi28scq/j8xi28scq_flt.fits
2004-05-19 10:38:11,j8xi1ht1q/j8xi1ht1q_flc.fits,j8xi1ht1q/j8xi1ht1q_flt.fits
2004-05-19 12:14:09,j8xi1itkq/j8xi1itkq_flc.fits,j8xi1itkq/j8xi1itkq_flt.fits
2004-05-19 12:25:16,j8xi1itnq/j8xi1itnq_flc.fits,j8xi1itnq/j8xi1itnq_flt.fits
2004-05-19 14:13:15,j8xi1ou9q/j8xi1ou9q_flc.fits,j8xi1ou9q/j8xi1ou9q_flt.fits
2004-05-19 14:25:15,j8xi1oudq/j8xi1oudq_flc.fits,j8xi1oudq/j8xi1oudq_flt.fits
2004-05-19 17:25:12,j8xi1rvbq/j8xi1rvbq_flc.fits,j8xi1rvbq/j8xi1rvbq_flt.fits
2004-05-20 09:36:59,j8xi1dzuq/j8xi1dzuq_flc.fits,j8xi1dzuq/j8xi1dzuq_flt.fits
2004-05-20 14:12:47,j8xi1gbcq/j8xi1gbcq_flc.fits,j8xi1gbcq/j8xi1gbcq_flt.fits
2004-05-20 14:24:47,j8xi1gbgq/j8xi1gbgq_flc.fits,j8xi1gbgq/j8xi1gbgq_flt.fits
2004-05-20 15:25:38,j8xi1jbpq/j8xi1jbpq_flc.fits,j8xi1jbpq/j8xi1jbpq_flt.fits
2004-05-20 15:36:45,j8xi1jbsq/j8xi1jbsq_flc.fits,j8xi1jbsq/j8xi1jbsq_flt.fits
2004-05-20 15:48:45,j8xi1jbvq/j8xi1jbvq_flc.fits,j8xi1jbvq/j8xi1jbvq_flt.fits
2004-05-20 17:01:37,j8xi1kc5q/j8xi1kc5q_flc.fits,j8xi1kc5q/j8xi1kc5q_flt.fits
2004-05-20 17:12:44,j8xi1kc7q/j8xi1kc7q_flc.fits,j8xi1kc7q/j8xi1kc7q_flt.fits
2004-05-21 12:24:27,j8xi29hjq/j8xi29hjq_flc.fits,j8xi29hjq/j8xi29hjq_flt.fits
2004-05-21 14:24:25,j8xi1yi9q/j8xi1yi9q_flc.fits,j8xi1yi9q/j8xi1yi9q_flt.fits
2004-05-21 15:25:16,j8xi1ziiq/j8xi1ziiq_flc.fits,j8xi1ziiq/j8xi1ziiq_flt.fits
2004-05-21 16:00:23,j8xi1zisq/j8xi1zisq_flc.fits,j8xi1zisq/j8xi1zisq_flt.fits
2004-05-21 17:12:22,j8xi20j3q/j8xi20j3q_flc.fits,j8xi20j3q/j8xi20j3q_flt.fits
2004-06-20 04:25:44,j8v302anq/j8v302anq_flc.fits,j8v302anq/j8v302anq_flt.fits
2004-06-20 04:42:06,j8v302aqq/j8v302aqq_flc.fits,j8v302aqq/j8v302aqq_flt.fits
2004-06-21 04:45:51,j90r0tbnq/j90r0tbnq_flc.fits,j90r0tbnq/j90r0tbnq_flt.fits
2004-06-21 05:53:44,j90r0tcnq/j90r0tcnq_flc.fits,j90r0tcnq/j90r0tcnq_flt.fits
2004-06-21 09:09:40,j90r0mdjq/j90r0mdjq_flc.fits,j90r0mdjq/j90r0mdjq_flt.fits
2004-06-21 09:21:05,j90r0mdlq/j90r0mdlq_flc.fits,j90r0mdlq/j90r0mdlq_flt.fits
2004-06-21 12:45:13,j90r09epq/j90r09epq_flc.fits,j90r09epq/j90r09epq_flt.fits
2004-06-22 09:08:41,j90r0fkoq/j90r0fkoq_flc.fits,j90r0fkoq/j90r0fkoq_flt.fits
2004-06-22 09:20:06,j90r0fkqq/j90r0fkqq_flc.fits,j90r0fkqq/j90r0fkqq_flt.fits
2004-06-22 09:32:06,j90r0fktq/j90r0fktq_flc.fits,j90r0fktq/j90r0fktq_flt.fits
2004-06-22 09:44:06,j90r0fkwq/j90r0fkwq_flc.fits,j90r0fkwq/j90r0fkwq_flt.fits
2004-06-22 12:44:10,j90r0hluq/j90r0hluq_flc.fits,j90r0hluq/j90r0hluq_flt.fits
2004-06-22 13:58:59,j90r0hm7q/j90r0hm7q_flc.fits,j90r0hm7q/j90r0hm7q_flt.fits
2004-06-23 02:53:48,j90r0lqjq/j90r0lqjq_flc.fits,j90r0lqjq/j90r0lqjq_flt.fits
2004-06-23 07:52:34,j90r0nrzq/j90r0nrzq_flc.fits,j90r0nrzq/j90r0nrzq_flt.fits
2004-06-23 08:04:34,j90r0ns2q/j90r0ns2q_flc.fits,j90r0ns2q/j90r0ns2q_flt.fits
2004-06-23 09:03:42,j90r0nscq/j90r0nscq_flc.fits,j90r0nscq/j90r0nscq_flt.fits
2004-06-23 11:19:34,j90r0pt3q/j90r0pt3q_flc.fits,j90r0pt3q/j90r0pt3q_flt.fits
2004-06-23 12:19:27,j90r0ptdq/j90r0ptdq_flc.fits,j90r0ptdq/j90r0ptdq_flt.fits
2004-06-25 03:02:12,j90r0uerq/j90r0uerq_flc.fits,j90r0uerq/j90r0uerq_flt.fits
2004-06-25 04:13:58,j90r0uf1q/j90r0uf1q_flc.fits,j90r0uf1q/j90r0uf1q_flt.fits
2004-06-25 04:25:58,j90r0uf4q/j90r0uf4q_flc.fits,j90r0uf4q/j90r0uf4q_flt.fits
2004-06-25 07:40:18,j90r0wg2q/j90r0wg2q_flc.fits,j90r0wg2q/j90r0wg2q_flt.fits
2004-06-25 08:04:18,j90r0wg8q/j90r0wg8q_flc.fits,j90r0wg8q/j90r0wg8q_flt.fits
2004-06-25 15:30:29,j90r0eihq/j90r0eihq_flc.fits,j90r0eihq/j90r0eihq_flt.fits
2004-06-25 22:28:55,j90r11kbq/j90r11kbq_flc.fits,j90r11kbq/j90r11kbq_flt.fits
2004-06-26 12:17:50,j90r13rnq/j90r13rnq_flc.fits,j90r13rnq/j90r13rnq_flt.fits
2004-06-26 12:29:15,j90r13rpq/j90r13rpq_flc.fits,j90r13rpq/j90r13rpq_flt.fits
2004-06-26 15:41:08,j90r15spq/j90r15spq_flc.fits,j90r15spq/j90r15spq_flt.fits
2004-06-26 15:53:08,j90r15ssq/j90r15ssq_flc.fits,j90r15ssq/j90r15ssq_flt.fits
2004-06-26 18:41:37,j90r16tgq/j90r16tgq_flc.fits,j90r16tgq/j90r16tgq_flt.fits
2004-06-26 18:53:02,j90r16tiq/j90r16tiq_flc.fits,j90r16tiq/j90r16tiq_flt.fits
2004-06-26 19:05:02,j90r16tlq/j90r16tlq_flc.fits,j90r16tlq/j90r16tlq_flt.fits
2004-06-26 21:53:27,j90r18u9q/j90r18u9q_flc.fits,j90r18u9q/j90r18u9q_flt.fits
2004-06-26 22:16:52,j90r18ueq/j90r18ueq_flc.fits,j90r18ueq/j90r18ueq_flt.fits
2004-06-26 22:28:52,j90r18uhq/j90r18uhq_flc.fits,j90r18uhq/j90r18uhq_flt.fits
2004-06-27 02:48:27,j90r19weq/j90r19weq_flc.fits,j90r19weq/j90r19weq_flt.fits
2004-06-27 04:11:56,j90r19wqq/j90r19wqq_flc.fits,j90r19wqq/j90r19wqq_flt.fits
2004-06-27 04:23:56,j90r19wtq/j90r19wtq_flc.fits,j90r19wtq/j90r19wtq_flt.fits
2004-06-28 07:39:49,j90r1ccyq/j90r1ccyq_flc.fits,j90r1ccyq/j90r1ccyq_flt.fits
2004-06-29 01:19:26,j90r1ehuq/j90r1ehuq_flc.fits,j90r1ehuq/j90r1ehuq_flt.fits
2004-06-29 23:27:33,j90r1gngq/j90r1gngq_flc.fits,j90r1gngq/j90r1gngq_flt.fits
2004-06-30 00:56:47,j90r1gnzq/j90r1gnzq_flc.fits,j90r1gnzq/j90r1gnzq_flt.fits
2004-06-30 01:08:47,j90r1go3q/j90r1go3q_flc.fits,j90r1go3q/j90r1go3q_flt.fits
2004-06-30 06:21:33,j90r1hq4q/j90r1hq4q_flc.fits,j90r1hq4q/j90r1hq4q_flt.fits
2004-06-30 07:20:30,j90r1hqeq/j90r1hqeq_flc.fits,j90r1hqeq/j90r1hqeq_flt.fits
2004-06-30 09:38:06,j90r1ir5q/j90r1ir5q_flc.fits,j90r1ir5q/j90r1ir5q_flt.fits
2004-06-30 10:32:22,j90r1irfq/j90r1irfq_flc.fits,j90r1irfq/j90r1irfq_flt.fits
2004-06-30 23:37:13,j90r1jttq/j90r1jttq_flc.fits,j90r1jttq/j90r1jttq_flt.fits
2004-07-01 00:55:39,j90r1juaq/j90r1juaq_flc.fits,j90r1juaq/j90r1juaq_flt.fits
2004-07-01 01:07:39,j90r1jueq/j90r1jueq_flc.fits,j90r1jueq/j90r1jueq_flt.fits
2004-07-01 06:07:27,j90r1kwfq/j90r1kwfq_flc.fits,j90r1kwfq/j90r1kwfq_flt.fits
